conda activate mgmt_chain
(base) dswanagon@Davids-Laptop-7 ~ % conda activate mgmt_chain
(mgmt_chain) dswanagon@Davids-Laptop-7 ~ % python "/Users/dswanagon/Relational Lysis Github/8 - Shannon Limit/exp_shannon_1_Ingestion.py" \
    --mode A \ 
    --chunk_mb 50 \
    --log mode_b_log.csv


RELATIONAL LYSIS — PHASE 1 INGESTION
Mode: A
Chunk MB: 50
Log: mode_b_log.csv

Chunk      1 | Downloaded MB=      52.4 | RSS=   240.8 MB | Peak=   240.8 MB
Chunk    191 | Downloaded MB=   10013.9 | RSS=  3123.4 MB | Peak=  3133.4 MB
Chunk    192 | Downloaded MB=   10066.3 | RSS=  3113.4 MB | Peak=  3133.4 MB
Chunk    193 | Downloaded MB=   10118.8 | RSS=  3113.1 MB | Peak=  3133.4 MB
Chunk    194 | Downloaded MB=   10171.2 | RSS=  3091.1 MB | Peak=  3133.4 MB
Chunk    195 | Downloaded MB=   10223.6 | RSS=  3106.0 MB | Peak=  3133.4 MB
Chunk    196 | Downloaded MB=   10276.0 | RSS=  3088.1 MB | Peak=  3133.4 MB
Chunk    197 | Downloaded MB=   10328.5 | RSS=  3064.0 MB | Peak=  3133.4 MB
Chunk    198 | Downloaded MB=   10380.9 | RSS=  3069.3 MB | Peak=  3133.4 MB
Chunk    199 | Downloaded MB=   10433.3 | RSS=  3098.6 MB | Peak=  3133.4 MB
Chunk    200 | Downloaded MB=   10485.8 | RSS=  3112.3 MB | Peak=  3133.4 MB
Chunk    201 | Downloaded MB=   10538.2 | RSS=  3092.9 MB | Peak=  3133.4 MB
Chunk    202 | Downloaded MB=   10590.6 | RSS=  3090.9 MB | Peak=  3133.4 MB
Chunk    203 | Downloaded MB=   10643.0 | RSS=  3079.0 MB | Peak=  3133.4 MB
Chunk    204 | Downloaded MB=   10695.5 | RSS=  3101.6 MB | Peak=  3133.4 MB
Chunk    205 | Downloaded MB=   10747.9 | RSS=  3116.2 MB | Peak=  3133.4 MB
Chunk    206 | Downloaded MB=   10800.3 | RSS=  3116.2 MB | Peak=  3133.4 MB
Chunk    207 | Downloaded MB=   10852.8 | RSS=  3108.0 MB | Peak=  3133.4 MB
Chunk    208 | Downloaded MB=   10905.2 | RSS=  3086.8 MB | Peak=  3133.4 MB
Chunk    209 | Downloaded MB=   10957.6 | RSS=  3105.1 MB | Peak=  3133.4 MB
Chunk    210 | Downloaded MB=   11010.0 | RSS=  3112.5 MB | Peak=  3133.4 MB
Chunk    211 | Downloaded MB=   11062.5 | RSS=  3116.3 MB | Peak=  3133.4 MB
Chunk    212 | Downloaded MB=   11114.9 | RSS=  3097.0 MB | Peak=  3133.4 MB
Chunk    213 | Downloaded MB=   11167.3 | RSS=  3075.4 MB | Peak=  3133.4 MB
Chunk    214 | Downloaded MB=   11219.8 | RSS=  3085.7 MB | Peak=  3133.4 MB
Chunk    215 | Downloaded MB=   11272.2 | RSS=  3092.8 MB | Peak=  3133.4 MB
Chunk    216 | Downloaded MB=   11324.6 | RSS=  3099.7 MB | Peak=  3133.4 MB
Chunk    217 | Downloaded MB=   11377.0 | RSS=  3129.4 MB | Peak=  3133.4 MB
Chunk    218 | Downloaded MB=   11429.5 | RSS=  3091.6 MB | Peak=  3133.4 MB
Chunk    219 | Downloaded MB=   11481.9 | RSS=  3094.2 MB | Peak=  3133.4 MB
Chunk    220 | Downloaded MB=   11534.3 | RSS=  3078.6 MB | Peak=  3133.4 MB
Chunk    221 | Downloaded MB=   11586.8 | RSS=  3007.6 MB | Peak=  3133.4 MB
Chunk    222 | Downloaded MB=   11639.2 | RSS=  3057.6 MB | Peak=  3133.4 MB
Chunk    223 | Downloaded MB=   11691.6 | RSS=  3004.0 MB | Peak=  3133.4 MB
Chunk    224 | Downloaded MB=   11744.1 | RSS=  3008.1 MB | Peak=  3133.4 MB
Chunk    225 | Downloaded MB=   11796.5 | RSS=  3008.9 MB | Peak=  3133.4 MB
Chunk    226 | Downloaded MB=   11848.9 | RSS=  3023.6 MB | Peak=  3133.4 MB
Chunk    227 | Downloaded MB=   11901.3 | RSS=  3037.5 MB | Peak=  3133.4 MB
Chunk    228 | Downloaded MB=   11953.8 | RSS=  3045.5 MB | Peak=  3133.4 MB
Chunk    229 | Downloaded MB=   12006.2 | RSS=  3040.0 MB | Peak=  3133.4 MB
Chunk    230 | Downloaded MB=   12058.6 | RSS=  3007.1 MB | Peak=  3133.4 MB
Chunk    231 | Downloaded MB=   12111.1 | RSS=  3057.1 MB | Peak=  3133.4 MB
Chunk    232 | Downloaded MB=   12163.5 | RSS=  3037.5 MB | Peak=  3133.4 MB
Chunk    233 | Downloaded MB=   12215.9 | RSS=  3038.0 MB | Peak=  3133.4 MB
Chunk    234 | Downloaded MB=   12268.3 | RSS=  2994.3 MB | Peak=  3133.4 MB
Chunk    235 | Downloaded MB=   12320.8 | RSS=  3033.4 MB | Peak=  3133.4 MB
Chunk    236 | Downloaded MB=   12373.2 | RSS=  3018.8 MB | Peak=  3133.4 MB
Chunk    237 | Downloaded MB=   12425.6 | RSS=  3040.5 MB | Peak=  3133.4 MB
Chunk    238 | Downloaded MB=   12478.1 | RSS=  3021.5 MB | Peak=  3133.4 MB
Chunk    239 | Downloaded MB=   12530.5 | RSS=  3012.4 MB | Peak=  3133.4 MB
Chunk    240 | Downloaded MB=   12582.9 | RSS=  3035.8 MB | Peak=  3133.4 MB
Chunk    241 | Downloaded MB=   12635.3 | RSS=  3006.0 MB | Peak=  3133.4 MB
Chunk    242 | Downloaded MB=   12687.8 | RSS=  3007.3 MB | Peak=  3133.4 MB
